Game,ID
"Ayakashi Ninden Kunoichiban Plus (Japan) (Disc 2)",T-21512G  V1.002
"Ayrton Senna Personal Talk - Message for the Future (Japan)",GS-9020   V1.000
"Azel - Panzer Dragoon RPG (Japan) (Demo)",6106749   V0.191
"Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M)",GS-9076   V1.001
"Azel - Panzer Dragoon RPG (Japan) (Disc 1) (2M)",GS-9076   V1.001
"Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M)",GS-9076   V1.001
"Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M)",GS-9076   V1.001
"Azel - Panzer Dragoon RPG (Japan) (Disc 3) (2M)",GS-9076   V1.001
"Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)",GS-9076   V1.001
"BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 1)",T-19907G  V1.001
"BackGuiner - Yomigaeru Yuusha-tachi - Hishou-hen - Uragiri no Senjou (Japan) (Disc 2)",T-19907G  V1.001
"BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 1)",T-19906G  V1.001
"BackGuiner - Yomigaeru Yuusha-tachi - Kakusei-hen - Guiner Tensei (Japan) (Disc 2)",T-19906G  V1.001
"Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan)",GS-9040   V1.000
"Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan) (Rev A)",GS-9040   V1.001
"Baku Baku Animal - World Zookeeper Contest (Europe)",MK-81501  V1.001
"Baku Baku Animal - World Zookeeper Contest (USA)",MK-81501  V1.004
"Bakuretsu Hunter (Japan) (Disc 1)",T-22402G  V1.002
"Bakuretsu Hunter (Japan) (Disc 2) (Omake CD)",T-22402G  V0.000
"Bakuretsu Hunter R (Japan)",T-24903G  V1.005
"Bakushou!! All Yoshimoto Quiz-ou Kettei-sen DX (Japan)",T-20001G  V1.001
"Baldy Land (Japan)",T-20608G  V1.300
"Baroque (Japan)",T-33901G  V1.004
"Baroque Report - CD Data File (Japan)",6106848   V1.002
