Game,ID
"Detana Twinbee Yahoo! Deluxe Pack (Japan) (3M)",T-9505G   V1.001
"Develo Magazine Appendix CD-ROM for SegaSaturn (Japan)",610645801 V1.000
"Device Reign (Japan)",T-27810G  V1.001
"Devil Summoner - Soul Hackers - Akuma Zensho Daini-shuu (Japan)",T-14421G  V1.000
"Devil Summoner - Soul Hackers (Japan) (Disc 01)",T-14420G  V1.002
"Devil Summoner - Soul Hackers (Japan) (Disc 02)",T-14420G  V1.002
"Devil Summoner - Soul Hackers & Ronde (Japan) (Demo 1)",6106703   V1.000
"Devil Summoner - Soul Hackers & Ronde (Japan) (Demo 2)",6106704   V1.000
"Devil Summoner - Soul Hackers Extra Dungeon (Japan) (3M)",6106804   V1.000
"Dezaemon 2 (Japan)",T-16804G  V1.001
"Die Hard Arcade (Europe)",MK-81057  V1.002
"Die Hard Arcade (USA)",MK-81057  V1.001
"Die Hard Trilogy (Europe) (En,Fr,De,Es,It,Sv)",T-16103H  V1.000
"Die Hard Trilogy (Japan)",GS-9123   V1.000
"Die Hard Trilogy (USA)",T-16103H  V1.000
"Digital Ange - Dennou Tenshi SS (Japan)",T-33003G  V1.003
"Digital Dance Mix Vol. 1 - Namie Amuro (Japan) (Rev A) (10M, 12M)",GS-9133   V1.003
"Digital Dance Mix Vol. 1 - Namie Amuro (Japan) (Rev A) (11M)",GS-9133   V1.003
"Digital Monster Ver. S - Digimon Tamers (Japan)",T-13331G  V1.001
"Digital Pinball - Last Gladiators (Japan)",T-18901G  V1.002
"Digital Pinball - Last Gladiators (Japan) (5M) (Demo)",ST-18901G V1.000
"Digital Pinball - Last Gladiators Ver.9.7 (Japan)",T-18903G  V1.003
"Digital Pinball - Necronomicon - Revelations (Japan) (Demo)",ST-18902G V1.000
"Digital Pinball - Necronomicon (Japan)",T-18902G  V1.002
"Digital Pinball (Europe) (4S)",MK-81680  V1.004
"Digital Pinball (Europe) (7S)",MK-81680  V1.004
"Dino Island - Yokoku-hen (Japan)",T-4505G   V1.001
"Dino Island (Japan)",T-4503G   V1.000
"Disc Station Bessatsu - I Miss You. Tanaka Katsumi (Japan) (1M)",6106732   V1.003
"Discworld (Japan)",T-20502G  V1.000
"Discworld II - Missing Presumed...! (Europe) (En,Fr,De,Es,It)",MK-81093  V1.007
"DJ Wars (Japan) (Demo)",6106762   V0.004
"DJ Wars (Japan) (Rev A) (10M)",T-18807G  V1.005
"DoDonPachi (Japan)",T-14419G  V1.002
"DoDonPachi (Japan) (Demo)",61014419  V0.100
"DonPachi (Japan)",T-14405G  V1.400
"DonPachi (Japan) (Demo)",T-14405G  V1.000
"Doom (Europe) (R)",T-25406H50V1.004
"Doom (Japan)",T-18610G  V1.300
"Doom (USA)",T-25405H  V1.000
"Doraemon - Nobita to Fukkatsu no Hoshi (Japan)",T-19801G  V1.001
"Double Switch (USA) (Disc 1)",T-16207H  V1.000
"Double Switch (USA) (Disc 2)",T-16207H  V1.000
"Doukoku Soshite... (Japan) (1M)",T-1315G   V1.003
"Doukoku Soshite... (Japan) (2M)",T-1315G   V1.003
"Doukyuusei - if (Japan) (1M, 2M)",T-20102G  V1.001
"Doukyuusei 2 (Japan) (Disc A)",T-20104G  V1.001
"Doukyuusei 2 (Japan) (Disc B)",T-20104G  V1.001
"Dragon Ball Z - Idainaru Dragon Ball Densetsu (Japan)",T-13305G  V1.007
"Dragon Ball Z - La Grande Legende des Boules de Cristal (France, Spain)",T-13301H  V1.000
"Dragon Ball Z - Shinbutouden (Japan)",T-13302G  V1.025
"Dragon Force (Europe)",MK-8138250V1.100
"Dragon Force (Japan) (1M, 2M, 3M)",GS-9028   V1.007
"Dragon Force (Japan) (4M)",GS-9028   V1.007
"Dragon Force (Japan) (Rev A) (10M)",GS-9028   V1.011
"Dragon Force (USA)",T-12703H  V1.000
"Dragon Force II - Kami Sarishi Daichi ni (Japan)",GS-9184   V1.006
"Dragon Force II - Kami Sarishi Daichi ni (Japan) (Rev A)",GS-9184   V1.007
"Dragon Master Silk (Japan)",T-19503G  V1.003
"Dragon's Dream (Japan)",GS-7114   V1.003
"DragonHeart - Fire & Steel (Europe) (En,Fr,De)",T-8117H-50V1.000
"DragonHeart - Fire & Steel (USA)",T-8117H   V1.001
"Dream Generation - Koi ka Shigoto ka!... (Japan)",T-2511G   V1.100
"Dream Square - Hinagata Akiko (Japan) (2M)",T-3002G   V1.001
"Drift King Shutokou Battle '97 - Tsuchiya Keiichi & Bandou Masaaki (Japan)",T-15019G  V1.000
"Drift King Shutokou Battle '97 - Tsuchiya Keiichi & Bandou Masaaki (Japan) (Demo)",610-6503  V1.001
"Druid - Yami e no Tsuisekisha (Japan)",T-7670G   V1.001
"Duke Nukem 3D (Europe)",MK-81071  V1.014
"Duke Nukem 3D (USA)",MK-81071  V1.018
"Dungeon Master Nexus (Japan)",T-9111G   V1.003
"Dungeons & Dragons Collection (Japan) (Disc 1) (Tower of Doom)",T-1245G   V1.000
"Dungeons & Dragons Collection (Japan) (Disc 2) (Shadow over Mystara)",T-1245G   V1.000
"DX Nippon Tokkyuu Ryokou Game - Let's Travel in Japan (Japan)",T-10306G  V1.000
"Dynamite Deka (Japan)",GS-9122   V1.001
"Earthworm Jim 2 (Europe)",T-7019H-50V1.004
"Earthworm Jim 2 (Japan) (2M)",T-10304G  V1.001
"Earthworm Jim 2 (USA)",T-13203H  V1.000
"Eberouge (Japan) (Disc 1) (1M)",T-10309G  V1.005
"Eberouge (Japan) (Disc 2)",T-10309G  V1.005
"Eberouge Special - Koi to Mahou no Gakuen Seikatsu (Japan)",T-10315G  V1.003
"EGWord (Japan) (1M)",T-7626G   V1.001
"EGWord (Japan) (Rev A) (10M)",T-7626G   V1.021
"EGWord Ver 2.00 (Japan)",T-7641G   V2.000
"Eisei Meijin (Japan) (2M)",T-9506G   V2.000
"Eisei Meijin II (Japan)",T-9516G   V2.020
"Eiyuu Shigan - Gal Act Heroism (Japan)",T-5204G   V1.001
"Elevator Action^2 - Returns (Japan)",T-19903G  V1.002
"Elf o Karu Monotachi - Hanafuda-hen (Japan)",T-16606G  V1.000
"Elf o Karu Monotachi (Japan) (Disc 1)",T-16605G  V1.001
"Elf o Karu Monotachi (Japan) (Disc 2) (Omake Disc)",T-16605G  V1.001
"Elf o Karu Monotachi II (Japan) (Disc 1)",T-16610G  V1.003
"Elf o Karu Monotachi II (Japan) (Disc 2) (Omake Disc)",T-16610G  V1.004
"Emit Vol. 1 - Toki no Maigo (Japan)",T-7602G   V1.200
"Emit Vol. 2 - Inochigake no Tabi (Japan) (Rev A)",T-7603G   V1.000
"Emit Vol. 3 - Watashi ni Sayonara o (Japan) (Rev A)",T-7604G   V1.000
"Enemy Zero (Europe) (Disc 0) (Opening Disc)",MK-81076  V1.001
"Enemy Zero (Europe) (Disc 1) (Game Disc)",MK-81076  V1.001
"Enemy Zero (Europe) (Disc 2) (Game Disc)",MK-81076  V1.001
"Enemy Zero (Europe) (Disc 3) (Game Disc)",MK-81076  V1.001
"Enemy Zero (Japan) (Disc 0) (Opening Disc)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 0) (Opening Disc) (1M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 0) (Opening Disc) (2M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 0) (Opening Disc) (Satakore)",T-30004G  V1.000
"Enemy Zero (Japan) (Disc 1) (Game Disc)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 1) (Game Disc) (1M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 1) (Game Disc) (2M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 1) (Game Disc) (Satakore)",T-30004G  V1.000
"Enemy Zero (Japan) (Disc 2) (Game Disc)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 2) (Game Disc) (1M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 2) (Game Disc) (2M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 2) (Game Disc) (Satakore)",T-30004G  V1.000
"Enemy Zero (Japan) (Disc 3) (Game Disc)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 3) (Game Disc) (1M, 4M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 3) (Game Disc) (3M)",T-30001G  V1.000
"Enemy Zero (Japan) (Disc 3) (Game Disc) (Satakore)",T-30004G  V1.000
"Enemy Zero (USA) (Disc 0)",MK-81076  V1.001
"Enemy Zero (USA) (Disc 1)",MK-81076  V1.001
"Enemy Zero (USA) (Disc 2)",MK-81076  V1.001
"Enemy Zero (USA) (Disc 3)",MK-81076  V1.001
"Eternal Melody (Japan)",T-27802G  V1.002
"Eternal Melody (Japan) (Rev A)",T-27802G  V2.000
"Etude Prologue - Yureugoku Kokoro no Katachi (Japan)",T-37901G  V1.120
"Eve - Burst Error (Japan) (Disc 1) (Kojiroh Disc)",T-15022G  V1.000
"Eve - Burst Error (Japan) (Disc 2) (Marina Disc)",T-15022G  V1.000
"Eve - Burst Error (Japan) (Disc 3) (Terror Disc)",T-15022G  V1.001
"Eve - Burst Error (Japan) (Disc 4) (Making Disc)",T-15022G  V1.000
"Eve - The Lost One (Japan) (Demo)",6106837   V1.000
"Eve - The Lost One (Japan) (Disc 1) (Kyoko Disc) (1M)",T-15035G  V1.000
"Eve - The Lost One (Japan) (Disc 2) (Snake Disc) (2M)",T-15035G  V1.000
"Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (1M)",T-15035G  V1.000
"Eve - The Lost One (Japan) (Disc 3) (Lost One Disc) (2M)",T-15035G  V1.000
"Eve - The Lost One (Japan) (Disc 4) (Extra Disc) (1M)",T-15035G  V1.000
"Eve - The Lost One (Japan) (Disc 4) (Extra Disc) (2M)",T-15035G  V1.000
"Exhumed (Europe) (En,Fr,De,Es)",MK-81084  V1.000
"Eyeful Home (Japan)",GS-9083   V1.000
"F-1 Challenge (Europe)",MK-81206  V0.950
"F-1 Live Information (Japan)",GS-9035   V1.009
"F1 Challenge (USA)",MK-81206  V1.000
"Falcom Classics (Japan) (Disc 1) (Game Disc)",T-31503G  V1.015
"Falcom Classics (Japan) (Disc 2) (Special CD)",T-31503G  V1.007
"Falcom Classics II (Japan)",T-31505G  V1.004
"Falcom Classics II (Japan) (Genteiban)",T-31504G  V1.004
"Fantastep (Japan)",T-5710G   V1.002
"Farland Saga - Toki no Michishirube (Japan)",T-32511G  V1.000
"Farland Saga (Japan)",T-32507G  V1.060
"Farland Story - Habou no Mai (Japan)",T-32505G  V1.002
"Farland Story - Habou no Mai (Japan) (Demo)",610-6471  V1.000
"Father Christmas (Japan)",T-18504G  V1.000
"FEDA Remake! The Emblem of Justice (Japan)",T-21001G  V1.003
"FIFA - Die WM-Qualifikation 98 (Germany)",T-5025H-50V1.000
"FIFA - En Route pour la Coupe du Monde 98 (France)",T-5025H-50V1.000
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)",T-5025H-50V1.000
"FIFA - Road to World Cup 98 (Italy) (En,Fr,De,Es,It,Nl,Sv)",T-5025H-50V1.000
"FIFA - Road to World Cup 98 (USA)",T-5025H   V1.000
"FIFA - Rumbo al Mundial 98 (Spain)",T-5025H-50V1.000
"FIFA 97 (Europe) (En,Fr,De,Es,It,Sv)",T-5017H   V1.000
"FIFA 97 (France) (En,Fr,De,Es,It,Sv)",T-5017H   V1.000
"FIFA 97 (Germany) (En,Fr,De,Es,It,Sv)",T-5017H   V1.000
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)",T-5003H   V1.000
"FIFA Soccer 96 (Japan)",T-10606G  V1.000
"FIFA Soccer 96 (USA)",T-5003H   V1.000
"FIFA Soccer 97 (USA)",T-5017H   V1.001
"Fighter's History Dynamite (Japan)",GS-9107   V1.001
"Fighters Megamix (Europe)",MK-81073  V1.002
"Fighters Megamix (Japan)",GS-9126   V1.001
"Fighters Megamix (Japan) (1M)",GS-9126   V1.001
"Fighters Megamix (Japan) (2M)",GS-9126   V1.001
"Fighters Megamix (USA)",MK-81073  V1.004
"Fighters Megamix (USA) (RE)",MK-81073  V1.004
"Fighting Vipers (Europe)",MK-81041  V1.000
"Fighting Vipers (Japan) (Demo)",GS-9001   V1.000
"Fighting Vipers (Japan) (Rev A)",GS-9101   V1.010
"Fighting Vipers (Japan) (Rev C)",GS-9101   V1.013
"Fighting Vipers (Korea)",MK-81041  V1.002
"Fighting Vipers (USA) (5S, 6S)",MK-81041  V2.000
"Fighting Vipers (USA) (6S)",MK-81041  V2.000
"Final Fight Revenge (Japan)",T-1248G   V1.004
"Find Love 2 - Rhapsody (Japan) (Disc 1)",T-34605G  V1.008
"Find Love 2 - Rhapsody (Japan) (Disc 2)",T-34605G  V1.008
"Find Love 2 - The Prologue (Japan)",T-34604G  V1.006
"Fire Pro Gaiden Blazing Tornado (Japan)",T-4302G   V1.005
"Fire Pro Gaiden Blazing Tornado (Japan) (Demo)",T-4302G   V1.002
"Fire Prowrestling S - 6Men Scramble (Japan) (1M)",T-4308G   V1.005
"Fire Prowrestling S - 6Men Scramble (Japan) (2M)",T-4308G   V1.005
"Firestorm - Thunderhawk 2 (Europe) (En,Fr)",T-11501H00V1.000
"Firestorm - Thunderhawk 2 (Germany)",T-11501H00V1.000
"Fishing Koushien (Japan)",T-24901G  V1.001
"Fishing Koushien II (Japan)",T-24904G  V1.000
"Fist (Japan)",T-15015G  V1.001
"Flash SegaSaturn - Ochikazuki-hen (Japan)",610616699 V1.001
"Flash SegaSaturn Vol. 1 (Japan) (2M)",SG0000000 V1.000
"Flash SegaSaturn Vol. 10 (Japan)",610616610 V1.001
"Flash SegaSaturn Vol. 11 (Japan)",610616611 V1.001
"Flash SegaSaturn Vol. 12 (Japan)",610616612 V1.001
"Flash SegaSaturn Vol. 13 (Japan)",610616613 V1.003
"Flash SegaSaturn Vol. 14 (Japan)",610616614 V1.001
"Flash SegaSaturn Vol. 15 (Japan)",610616615 V1.003
"Flash SegaSaturn Vol. 16 (Japan)",610616616 V1.001
"Flash SegaSaturn Vol. 17 (Japan)",610616617 V1.000
"Flash SegaSaturn Vol. 18 (Japan)",610616618 V1.003
"Flash SegaSaturn Vol. 19 (Japan)",610616619 V1.001
"Flash SegaSaturn Vol. 2 (Japan) (2M)",SG0000000 V1.000
"Flash SegaSaturn Vol. 20 (Japan)",610616620 V1.000
"Flash SegaSaturn Vol. 21 (Japan)",610616621 V1.001
"Flash SegaSaturn Vol. 22 (Japan)",610616621 V1.000
"Flash SegaSaturn Vol. 23 (Japan)",610616621 V1.001
"Flash SegaSaturn Vol. 24 (Japan)",610616624 V1.000
"Flash SegaSaturn Vol. 25 (Japan)",610616625 V1.001
"Flash SegaSaturn Vol. 26 (Japan)",610616626 V1.000
"Flash SegaSaturn Vol. 27 (Japan)",610616627 V1.001
"Flash SegaSaturn Vol. 28 (Japan)",610616628 V1.003
"Flash SegaSaturn Vol. 29 (Japan) (3M)",610616629 V1.000
"Flash SegaSaturn Vol. 3 (Japan)",610616603 V1.002
"Flash SegaSaturn Vol. 30 (Japan)",610616630 V1.001
"Flash SegaSaturn Vol. 31 (Japan)",610616631 V1.002
"Flash SegaSaturn Vol. 32 (Japan)",610616632 V1.001
"Flash SegaSaturn Vol. 4 (Japan)",610616604 V1.001
"Flash SegaSaturn Vol. 5 (Japan)",610616605 V1.003
"Flash SegaSaturn Vol. 6 (Japan)",610616606 V1.000
"Flash SegaSaturn Vol. 7 (Japan)",610616607 V1.000
"Flash SegaSaturn Vol. 8 (Japan)",610616608 V2.000
"Flash SegaSaturn Vol. 9 (Japan)",610616609 V1.000
"Formula Grand Prix - Team Un'ei Simulation (Japan)",T-7309G   V1.001
"Formula Karts - Special Edition (Europe) (En,Fr,De,Es)",MK-81282  V1.000
"Frank Thomas Big Hurt Baseball (Europe)",T-8138H-50V1.000
"Frank Thomas Big Hurt Baseball (Japan)",T-8111G   V1.003
"Frank Thomas Big Hurt Baseball (USA)",T-8138H   V1.000
"Frankenstein - Through the Eyes of the Monster (Europe)",T-12511H  V1.200
"Free Talk Studio - Mari no Kimamana Oshaberi (Japan)",T-20504G  V1.003
"Friends - Seishun no Kagayaki (Japan) (Disc 1) (Game Disc)",T-20109G  V1.003
"Friends - Seishun no Kagayaki (Japan) (Disc 2) (Special Disc)",T-20109G  V1.003
"From TV Animation Slam Dunk - I Love Basketball (Japan)",T-13301G  V1.000
"Fully Cowled Mini Yonku - Super Factory (Japan) (Demo)",6106567   V0.200
"Fully Cowled Mini Yonku - Super Factory (Japan) (Rev A) (10M)",T-26407G  V1.008
"Fully Cowled Mini Yonku - Super Factory (Japan) (Rev A) (11M)",T-26407G  V1.008
"Funky Fantasy (Japan)",T-20002G  V1.004
"Funky Head Boxers (Japan)",T-20003G  V1.003
"Funky Head Boxers (Japan) (Demo)",610-6459  V1.000
"Funky Head Boxers Plus (Japan)",T-20004G  V1.001
"Fushigi no Kuni no Angelique (Japan)",T-7634G   V1.000
"Fuusui Sensei - Feng-Shui Master (Japan)",T-21701G  V1.000
"G Vector (Japan)",T-30603G  V1.005
"Gaia Breeder (Japan)",T-34801G  V1.001
"Gakkou no Kaidan (Japan)",GS-9026   V1.000
"Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan)",T-1205G   V1.002
"Gal Jan (Japan)",T-29101G  V1.000
"Galactic Attack (Europe)",T-8116H-50V1.000
"Galactic Attack (USA)",T-8116H   V1.000
"Galaxy Fight - Universal Warriors (Japan)",T-1510G   V1.002
"Galaxy Fight (Europe)",T-1504H-50V1.000
"Galaxy Fight (USA)",T-1504H   V1.002
"Gale Racer (Japan) (En,Ja) (1A)",GS-9003   V1.000
"Gals Panic SS (Japan)",T-29002G V1.005 
"Game Basic for SegaSaturn (Japan)",T-2111G   V1.002
"Game de Seishun (Japan) (Rev A)",T-19711G  V2.000
"Game Nihonshi - Kakumeiji Oda Nobunaga (Japan)",T-7633G   V1.001
"Game no Tatsujin (Japan) (4M)",T-1502G   V1.004
"Game no Tatsujin (Japan) (Rev A)",T-1502G   V2.000
"Game no Tatsujin 2 (Japan)",T-1509G   V1.006
"Game no Tetsujin - The Shanghai (Japan)",T-1506G   V1.000
"Game of Life, The - DX Jinsei Game (Japan) (Rev A)",T-10302G  V1.003
"Game of Life, The - DX Jinsei Game (Japan) (Rev B)",T-10302G  V1.005
"Game of Life, The - DX Jinsei Game II (Japan) (2M)",T-10310G  V1.002
"Game Tengoku - The Game Paradise! (Japan)",T-5712G   V1.003
"Game-Ware (Japan)",T-17002G  V1.02 
"Game-Ware Vol. 2 (Japan)",T-17003G  V1.02 
"Game-Ware Vol. 3 (Japan)",T-17004G-T V1.00
"Game-Ware Vol. 4 (Japan) (Disc A)",T-17005G V1.004 
"Game-Ware Vol. 4 (Japan) (Disc B)",T-17005G V1.002 
"Game-Ware Vol. 5 (Japan) (Disc A)",T-17006G  V1.01 
"Game-Ware Vol. 5 (Japan) (Disc B)",T-17006G  V1.00 
"Garou Densetsu 3 - Road to the Final Victory (Japan)",T-3102G   V1.000
"Gebockers (Japan)",T-5303G   V1.001
"Gebockers (Japan) (Demo)",ST-5303G  V1.000
"GeGeGe no Kitarou - Gentou Kaikitan (Japan)",T-13310G  V1.004
"Gekiretsu Pachinkers (Japan)",T-29601G  V1.200
"Gekirindan (Japan)",T-7008G   V1.001
"Gekitotsu Koushien (Japan)",T-6701G   V1.002
"Gekitotsu Koushien (Japan) (Demo)",6106677   V1.000
"Gekka Mugentan Torico (Japan) (Disc A) (Kyouchou-hen) (1M)",GS-9056   V1.000
"Gekka Mugentan Torico (Japan) (Disc A) (Kyouchou-hen) (2M)",GS-9056   V1.000
"Gekka Mugentan Torico (Japan) (Disc B) (Houkai-hen) (1M)",GS-9056   V1.000
"Gekka Mugentan Torico (Japan) (Disc B) (Houkai-hen) (2M)",GS-9056   V1.000
"Gekka no Kishi - Ouryuu-sen (Japan)",T-20606G  V1.001
"Gensou Suikoden (Japan)",T-9525G   V1.006
"Gex (Europe)",T-15904H50V1.000
"Gex (Japan)",T-15904G  V1.000
"Gex (USA)",T-15904H  V1.000
"Ghen War (Europe)",T-7010H-50V1.000
"Ghen War (Japan)",T-7004G   V1.047
"Ghen War (USA)",MK-81001  V1.034
"Ginga Eiyuu Densetsu (Japan)",T-22301G  V1.004
"Ginga Eiyuu Densetsu Plus (Japan)",T-22303G  V1.003
"Ginga Ojousama Densetsu Yuna - Mika Akitaka Illust Works (Japan)",T-14308G  V1.000
"Ginga Ojousama Densetsu Yuna - Mika Akitaka Illust Works 2 (Japan)",T-14323G  V1.000
"Ginga Ojousama Densetsu Yuna 3 - Lightning Angel (Japan)",T-14311G  V1.001
"Ginga Ojousama Densetsu Yuna Remix (Japan)",T-14307G  V1.002
"Girl Doll Toy - Tamashii o Kudasai (Japan)",T-37002G  V1.001
"Girls in Motion Puzzle Vol. 1 - Hiyake no Omoide + Himekuri (Japan)",T-21002G  V1.004
"Girls in Motion Puzzle Vol. 2 - Body Special 264 (Japan)",T-21003G  V1.000
"Girls in Motion Puzzle Vol. 2 - Body Special 264 (Japan) (Demo) (2M)",T-21003G  V1.000
"Go III Professional - Taikyoku Igo (Japan)",T-29003G  V1.002
"Godzilla - Rettou Shinkan (Japan)",GS-9050   V1.000
"Goiken Muyou - Anarchy in the Nippon (Japan)",T-28902G  V1.001
"Goiken Muyou - Anarchy in the Nippon (Japan) (Demo)",6106695   V0.100
"Gokujou Parodius Da! Deluxe Pack (Japan)",T-9501G   V1.001
"Gokujou Parodius Da! Deluxe Pack (Japan) (Rev A)",T-9501G   V1.002
"Golden Axe - The Duel (Europe)",MK-81045  V1.000
"Golden Axe - The Duel (Japan) (2M)",GS-9041   V1.000
"Gotha - Ismailia SenEki (Japan)",GS-9009   V1.000
"Gotha II - Tenkuu no Kishi (Japan)",T-7608G   V1.005
"Gotha II - Tenkuu no Kishi & Teitoku no Ketsudan II (Japan) (Demo)",ST-7608G  V1.000
"Gouketsuji Ichizoku 3 - Groove on Fight (Japan)",T-14411G  V1.001
"Gradius Deluxe Pack (Japan)",T-9509G   V2.000
"Gran Chaser (Japan) (3M)",GS-9022 V1.000  
"Grandia - Digital Museum (Japan)",T-4512G   V1.002
"Grandia - Digital Museum (Japan) (Rev A) (10M)",T-4512G   V1.003
"Grandia - Prelude (Japan)",6106600   V1.000
"Grandia (Japan) (Disc 1) (1M)",T-4507G   V1.002
"Grandia (Japan) (Disc 1) (2M)",T-4507G   V1.002
"Grandia (Japan) (Disc 1) (4M)",T-4507G   V1.002
"Grandia (Japan) (Disc 2) (1M, 2M)",T-4507G   V1.004
"Grandia (Japan) (Disc 2) (3M)",T-4507G   V1.004
"Grandia (Japan) (Disc 2) (4M)",T-4507G   V1.004
"GranDread (Japan)",T-20603G  V1.006
"Greatest Nine '96 (Japan) (2M)",GS-9086   V1.013
"Greatest Nine '96 (Japan) (3M)",GS-9086   V1.013
"Greatest Nine '96 (Japan) (Rev A) (10M)",GS-9086   V1.014
"Gremlin Demo Disc (Europe)",T-12313H  V1.002
"Gremlin Demo Disk (Europe)",T-12301H  V1.001
"Grid Run (Europe)",T-7016H-50V1.000
"Grid Runner (Japan)",T-7009G   V1.000
"Grid Runner (USA)",T-7025H   V1.000
"GT24 (Japan)",T-5714G   V1.003
"Guardian Force (Japan)",T-9905G   V1.002
"Guardian Heroes (Europe)",MK-81035  V1.000
"Guardian Heroes (Japan) (3M)",GS-9031   V1.000
"Guardian Heroes (USA)",MK-81035  V1.002
"Gun Griffon (Europe)",MK-81046  V1.00 
"Gunbird (Japan)",T-14402G  V1.01J
"GunBlaze-S (Japan)",T-19710G  V1.002
"Gungriffon - The Eurasian Conflict (Japan)",T-4502G   V1.01 
"Gungriffon (USA)",MK-81046  V1.01 
"Gungriffon II (Japan)",T-4511G   V1.001
"Gungriffon II (Japan) (Demo)",6106896   V1.000
"Gussun Oyoyo S (Japan)",T-26101G  V1.002
"Gyuwambler Jiko Chuushinha - Tokyo Mahjongland (Japan)",T-4504G   V1.03 
"Habitat II (Japan)",GS-7105   V1.004
"Hang On GP '95 (Japan) (1M)",GS-9032   V1.000
"Hang On GP '95 (Japan) (2M)",GS-9032   V1.000
"Hang On GP '95 (Japan) (Demo) (2M)",GS-9032   V1.000
"Hang On GP '96 (Europe)",MK-81202  V1.000
"Hang-On GP (USA)",MK-81202  V1.000
"Hansha de Spark! (Japan)",T-20902G  V1.004
"Hansha de Spark! (Japan) (Demo)",6106731   V0.001
"Hardcore 4x4 (Europe) (En,Fr,De)",T-12303H  V1.001
"Harukaze Sentai V-Force (Japan) (Disc 1)",T-19904G  V1.001
"Harukaze Sentai V-Force (Japan) (Disc 2)",T-19904G  V1.001
"Harukaze Sentai V-Force (Japan) (Disc 3)",T-19904G  V1.001
"Hatsukoi Monogatari (Japan)",T-33004G  V1.001
"HatTrick Hero S (Japan)",T-1102G   V1.001
"Haunted Casino (Japan) (Disc A)",T-21902G V1.003 
"Haunted Casino (Japan) (Disc B)",T-21902G V1.002 
"Haunted Casino (Japan) (Disc C)",T-21902G V1.001 
"Heartbeat Scramble (Japan)",T-15014G  V1.000
"Hebereke's Popoitto (Europe)",T-1502H   V1.001
"Heim Waltz (Japan) (Rev A)",GS-9121   V2.000
"Heir of Zendor - The Legend and The Land (USA)",T-7605H   V1.000
"Heisei Tensai Bakabon - Susume! Bakabons (Japan)",T-17001G  V1.03 
"Heiwa Pachinko Soushingeki (Japan) (1M)",T-18702G  V1.001
"Henry Explorers (Japan)",T-9518G   V1.003
"Herc's Adventures (USA) (RE)",T-23001H  V1.002
"Hexen - Beyond Heretic (Japan)",T-18612G  V1.000
"Hexen (Europe) (En,Fr,De,Es,It)",T-25405H50V1.002
"Hexen (USA)",T-25406H  V1.002
"Hi-Octane - The Track Fights Back! (USA) (En,Fr,De,Es)",T-5002H   V1.000
"Hi-Octane (Europe) (En,Fr,De,Es)",T-5002H   V1.000
"Hi-Octane (Japan)",T-10608G  V1.000
"Hideo Nomo World Series Baseball (Japan)",GS-9061   V1.010
"High Velocity - Mountain Racing Challenge (USA)",T-14402H  V1.002
"Highschool Terra Story (Japan)",T-19715G  V1.002
"Highway 2000 (Europe)",T-6012H-50V1.001
"Highway 2000 (USA)",T-31101H  V1.000
"Himitsu Sentai Metamor V (Japan)",T-29005G  V1.001
"Hissatsu Pachinko Collection (Japan)",T-1503G   V1.003
"Hissatsu Pachinko Collection (Japan) (Rev A)",T-1503G   V1.007
"Hissatsu! (Japan)",T-23402G  V1.003
"Hokuto no Ken (Japan)",T-20601G  V1.000
"Honkaku 4-nin Uchi Geinoujin Taikyoku Mahjong - The Wareme de Pon (Japan)",T-3001G   V1.007
"Honkaku Hanafuda (Japan)",T-16611G  V1.004
"Honkaku Pro Mahjong - Tetsuman Special (Japan)",T-18709G  V1.001
"Honkaku Shougi Shinan - Wakamatsu Shougi Juku (Japan)",T-4402G   V1.000
"Hop Step Idol (Japan)",T-20507G  V1.002
"Horde, The (Europe)",T-15909H50V1.000
"Horde, The (France)",T-15909H09V1.000
"Horde, The (Germany)",T-15909H18V1.000
"Horde, The (Japan)",T-15909H50V1.000
"Horde, The (USA)",T-15909H50V1.000
"Horror Tour (Japan)",T-24301G  V1.004
"Houkago Ren'ai Club - Koi no Etude (Japan) (Disc 1)",T-19714G  V1.003
"Houkago Ren'ai Club - Koi no Etude (Japan) (Disc 2)",T-19714G  V1.003
"Houma Hunter Lime Perfect Collection (Japan) (Disc 1)",T-2001G V1.300  
"Houma Hunter Lime Perfect Collection (Japan) (Disc 2)",T-2001G V1.300  
"House of the Dead, The (Europe)",MK-81802  V1.001
"House of the Dead, The (Japan)",GS-9173   V1.003
"House of the Dead, The (Japan) (Demo)",6106861   V1.000
